date,frame,basket,leaders
2026-09-24,1w,Fintech,2
2026-09-24,1w,Semiconductors,2
2026-09-24,1w,Artificial Intelligence,1
2026-09-24,1w,Big Data,1
2026-09-24,1w,Cloud Computing,1
2026-09-24,1w,Crypto & Blockchain,1
2026-09-24,1w,Healthcare & Biotech,1
2026-09-24,1w,Software,1
2026-09-24,1w,Telecommunications,1
2026-09-24,1w,Virtual & Augmented Reality,1
2026-09-24,1m,Internet of Things,4
2026-09-24,1m,Artificial Intelligence,3
2026-09-24,1m,Cloud Computing,3
2026-09-24,1m,Software,3
2026-09-24,1m,Cybersecurity,2
2026-09-24,1m,Semiconductors,2
2026-09-24,1m,Telecommunications,2
2026-09-24,1m,Big Data,1
2026-09-24,1m,Biometrics,1
2026-09-24,1m,Crypto & Blockchain,1
2026-09-24,1m,Digital Entertainment,1
2026-09-24,1m,Energy - Renewable,1
2026-09-24,1m,Fintech,1
2026-09-24,1m,Hardware,1
2026-09-24,1m,Nanotechnology,1
2026-09-24,1m,Quantum Computing,1
2026-09-24,3m,Cloud Computing,3
2026-09-24,3m,Software,3
2026-09-24,3m,Telecommunications,2
2026-09-24,3m,Artificial Intelligence,1
2026-09-24,3m,Biometrics,1
2026-09-24,3m,Cybersecurity,1
2026-09-24,3m,E-Commerce,1
2026-09-24,3m,Internet of Things,1
2026-09-24,3m,Virtual & Augmented Reality,1
2026-09-24,6m,Artificial Intelligence,7
2026-09-24,6m,Cloud Computing,7
2026-09-24,6m,Internet of Things,5
2026-09-24,6m,Hardware,4
2026-09-24,6m,Software,4
2026-09-24,6m,Cybersecurity,3
2026-09-24,6m,Semiconductors,3
2026-09-24,6m,Big Data,2
2026-09-24,6m,Telecommunications,2
2026-09-24,6m,Biometrics,1
2026-09-24,6m,Digital Entertainment,1
2026-09-24,6m,Industrial Automation,1
2026-09-24,6m,Nanotechnology,1
2026-09-24,6m,Quantum Computing,1
