name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,9.72,9.95,9.23,7.82,5.36,3.39,2.77,2.56,9.71,8.76,9.82,9.35,17.1,15.45,1.5,4215188.8,8125278.8,78977710.0,63508533.0,1.55,-1.76,116420748.02487047,38.86,10,584.51,2,614.71,1,412.69,5.26,5.27,0.71,0.31,24.6,0.49,75.93,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,False,2026-11-16,False,False,5,>4x 50-MA,"EMA, near21, ADR, RVOL",7,https://www.tradingview.com/chart/?symbol=NASDAQ:XHLD&interval=D,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,7.71,7.29,7.11,5.6,4.08,6.7,8.53,9.75,7.04,6.49,9.48,6.36,17.9,17.07,1.32,4392252.4,7320220.866666666,56438903.0,40979816.0,4.35,6.61,209612758.62096772,156.15,1,663.37,1,-20.92,374,266.2,5.21,8.43,1.1,2.37,102.6,0.627,73.6,False,True,True,False,False,True,False,False,False,True,True,False,True,True,True,False,,False,True,2,"LoD>60% ATR, >4x 50-MA, below 200-MA, large gap","EMA, near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:USDE&interval=D,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,24.94,23.92,23.31,22.14,17.59,14.15,11.34,10.34,23.74,22.65,26.39,24.59,7.37,7.57,1.89,997110.4,1956872.0666666667,48804389.0,43315363.0,1.54,3.57,982885392.6739405,4.61,115,61.01,30,383.33,2,149.65,5.52,6.99,1.33,0.95,18.5,0.191,54.43,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,False,2026-11-13,False,True,4,">4x 50-MA, large gap","EMA, near21, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,False,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.4,39.3,38.06,36.43,29.95,24.68,20.62,,38.55,37.05,39.75,35.78,7.21,7.36,2.68,1676284.8,1524086.1666666667,55476736.0,55527793.0,2.2,2.91,2320820483.351492,6.87,94,128.93,4,260.75,5,132.18,2.92,-4.37,0.24,1.48,23.1,0.225,51.32,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,2026-12-02,False,True,4,"below 200-MA, large gap","near21, RVOL",3,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,28.28,27.46,24.45,20.56,17.17,16.23,14.27,14.95,26.84,24.06,29.41,27.61,7.11,6.61,1.87,9906677.5,8492745.533333335,240174844.0,174626418.0,0.98,2.28,2637465372.608537,114.57,3,81.86,17,174.3,12,123.58,9.79,15.67,2.66,0.96,35.9,0.582,46.66,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,2026-11-13,False,True,3,">4x 50-MA, thin RVOL, large gap",EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:ASST&interval=D,True,True,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,54.28,51.42,50.49,49.16,44.38,33.9,28.73,26.45,51.83,50.02,55.16,53.21,4.2,4.1,2.23,976373.1,1045526.8666666667,56751198.0,51397055.0,0.82,0.84,2808133552.8268914,18.83,37,126.83,5,208.41,10,118.02,5.43,7.5,2.08,0.88,48.2,0.143,46.0,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,2026-11-10,False,False,4,">4x 50-MA, thin RVOL",EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,588.4,541.3,497.01,486.21,460.38,397.92,318.81,270.31,539.29,510.19,593.98,565.5,5.56,5.72,33.68,10722516.599999998,8449694.799999999,4971800420.0,4108306393.0,0.69,1.26,374112212815.27386,26.0,21,36.88,66,259.88,6,107.58,4.86,18.39,2.68,0.85,68.0,0.397,46.06,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,2026-12-01,False,False,4,"LoD>60% ATR, >4x 50-MA",EMA,6,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,True,False,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,74.99,68.05,65.37,68.32,71.73,80.04,60.14,49.67,68.7,68.12,77.06,72.39,5.56,7.93,5.94,2495880.2,2282235.1333333333,171144813.0,155920783.0,1.08,5.02,6801082070.07524,-5.18,204,-13.14,261,337.51,3,106.4,0.57,14.73,1.27,0.79,43.8,0.288,40.51,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-10-28,False,True,4,"thin RVOL, large gap","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.79,13.13,13.98,15.63,15.19,12.03,9.29,8.15,13.37,14.06,13.83,13.06,5.25,7.18,0.99,1644467.8,2517432.4,34715393.0,39336979.0,0.85,1.68,853600998.9481312,-27.38,446,65.15,25,278.85,4,105.54,-1.28,-1.36,0.27,0.77,73.2,0.325,51.06,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL",near21,5,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,192.53,186.31,182.99,173.47,142.25,114.8,100.66,110.77,186.65,177.82,195.54,185.72,4.35,4.75,9.15,2908790.2,4671479.3,899399910.0,810340493.0,0.82,-0.87,48736816749.90666,21.41,29,130.19,3,164.07,17,105.22,7.44,5.21,1.74,1.07,74.4,0.195,44.49,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,2026-10-29,False,False,4,"LoD>60% ATR, >4x 50-MA",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,False,True,True
