name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.W,perf_1w_rank,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1w,is_top_1m,is_top_3m,is_top_6m
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,29.49,23.98,19.23,7.37,8.0,1781704.4,1581512.5,46638804.0,37930732.0,19.49,24,34.66,18,162.37,3,479.37,1,225.47,6.67,2026-11-13,False,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,True,True,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,29.94,23.44,18.91,6.52,6.53,10293342.7,9916877.0,296911297.0,232489612.0,6.8,98,57.25,5,175.69,1,199.4,13,144.11,8.93,2026-11-13,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ASST&interval=D,False,True,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.31,70.56,71.06,6.19,7.27,3199592.8,2580567.566666667,220148219.0,182082267.0,16.86,34,28.05,26,-5.4,246,405.09,2,142.58,2.76,2026-10-28,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,False,False,False,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,61.37,50.73,47.09,4.14,4.42,1258698.2,1176073.4,72175625.0,59665732.0,13.65,40,27.51,27,120.36,7,253.92,6,133.93,6.86,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,False,False,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,192.61,181.59,152.39,4.15,4.6,3193479.5,3805954.8,733064954.0,691106205.0,2.12,161,12.88,81,155.79,4,187.43,17,118.7,5.74,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,False,False,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,35.31,37.0,31.58,8.57,8.12,2026847.8,1589415.5,56122261.0,58809433.0,-10.99,410,-4.46,225,94.44,9,249.6,7,113.19,1.45,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.83,50.78,51.94,7.79,7.34,1092938.5,866887.3333333334,53599644.0,44021550.0,24.03,12,30.55,23,18.4,128,263.71,5,104.22,2.6,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,True,True,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,14.09,11.33,9.43,7.5,8.02,26251208.6,26839626.366666667,378170336.0,304007975.0,16.45,36,34.06,19,77.23,22,198.2,14,103.17,6.16,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,False,True,True,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,206.64,166.47,157.24,4.54,4.74,4606252.4,4237990.133333334,875738281.0,705503162.0,12.92,43,57.18,6,73.15,26,171.0,21,100.44,6.63,2026-12-08,False,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,False,True,False,True
GRAL,"GRAIL, Inc.",NASDAQ,Medical Specialties,125.21,80.62,76.45,5.42,6.24,2030118.3,1084744.8,135820896.0,87451041.0,66.3,4,60.03,4,90.99,14,145.51,32,98.84,10.22,2026-11-18,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GRAL&interval=D,True,True,True,False
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,29.45,21.82,19.52,6.63,5.88,3384411.9,1766933.6666666667,52036196.0,38547425.0,22.25,15,55.41,7,83.49,18,156.09,25,98.33,8.65,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,True,True,True,False
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,14.22,7.34,5.16,9.85,11.56,6411367.8,8582057.333333334,122036855.0,62950821.0,115.13,2,159.96,1,90.62,15,38.73,157,96.44,15.21,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:USDE&interval=D,True,True,True,False
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.88,11.25,10.77,7.35,7.85,2842416.4,2673962.2666666666,29092709.0,30081630.0,-1.09,222,1.49,161,8.37,167,270.07,4,93.31,0.13,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.5,14.77,14.9,5.83,6.99,1912161.7,2410829.6666666665,32558255.0,35611972.0,1.31,177,-13.1,318,4.49,193,288.07,3,93.16,-1.34,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,259.67,220.0,211.66,4.35,4.78,13674290.0,11454196.033333333,2974311084.0,2519904037.0,10.01,71,35.51,16,51.37,51,180.08,20,88.99,4.75,2026-12-01,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,False,True,False,True
RNG,"RingCentral, Inc.",NYSE,Packaged Software,79.82,70.61,63.56,4.0,4.08,1773451.7,1524116.9666666666,121655016.0,107614851.0,9.18,79,18.34,53,128.91,5,119.08,48,88.77,6.27,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NYSE:RNG&interval=D,False,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.91,2.61,2.56,5.47,5.84,30185086.200000037,23658960.5,68847575.0,61797205.0,7.38,94,7.78,112,56.45,43,200.0,12,88.08,2.33,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,False,True
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,20.13,18.62,15.8,4.23,4.79,1846305.3,2143929.5,43157301.0,39919967.0,14.9,39,4.08,135,165.22,2,93.56,64,87.62,5.71,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:OMER&interval=D,False,False,True,False
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,536.02,502.99,472.29,5.14,5.81,10139234.099999998,9054578.733333332,4853435293.0,4554332375.0,-6.03,317,21.03,45,35.27,80,206.07,10,87.46,2.32,2026-12-01,False,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.26,1.05,0.91,12.02,11.62,18319893.0,65013607.833333336,81917146.0,68458896.0,-2.33,249,107.51,2,64.13,33,88.06,69,86.57,3.28,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,False,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,118.51,115.38,110.26,4.65,4.59,2670827.5,1419621.3333333333,168239324.0,163789048.0,4.71,132,-5.11,233,41.56,68,211.13,9,82.53,1.63,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,18.57,15.61,14.66,5.12,5.07,8998908.6,6379416.633333334,118465767.0,99610338.0,8.47,85,31.7,21,91.44,13,123.73,45,82.29,5.25,2026-12-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,False,True,True,False
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,36.66,33.41,31.12,5.63,5.6,3018601.7,2083458.3666666667,76379584.0,69618414.0,5.5,117,12.35,86,85.15,17,148.04,29,81.85,3.18,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,False,False,True,False
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,360.51,299.56,304.13,5.65,6.44,4497567.2,3812896.7666666666,1374587413.0,1142174833.0,29.17,7,26.08,29,-5.74,250,224.78,8,81.71,2.88,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ALAB&interval=D,True,False,False,True
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,51.83,50.52,44.42,8.76,7.3,609110.7,598348.6333333333,31012410.0,30227775.0,4.79,131,4.22,131,92.53,12,139.95,38,78.9,2.29,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PLSE&interval=D,False,False,True,False
TWLO,Twilio Inc.,NYSE,Packaged Software,299.66,239.65,226.01,4.07,4.29,2777278.1,2157545.6333333333,646530124.0,517057969.0,26.07,8,35.07,17,59.28,37,141.0,37,78.45,7.6,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:TWLO&interval=D,True,True,False,False
INTC,Intel Corporation,NASDAQ,Semiconductors,127.39,100.17,98.53,4.05,5.02,121783099.5,102726993.06666666,13086391647.0,10290351228.0,21.67,18,41.45,11,-1.02,214,192.04,16,77.49,5.83,2026-10-22,False,https://www.tradingview.com/chart/?symbol=NASDAQ:INTC&interval=D,True,True,False,True
RBRK,"Rubrik, Inc.",NYSE,Information Technology Services,113.8,99.37,91.65,4.78,5.07,3601084.1,3652433.7333333334,415646959.0,362939905.0,10.96,61,16.15,66,60.67,35,143.32,34,73.38,4.77,2026-12-03,False,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,False,False,False,False
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,59.49,58.85,52.94,4.56,5.0,474285.0,618320.0333333333,36783859.0,36388443.0,4.3,136,-7.84,261,70.31,30,152.72,28,71.73,2.47,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ETON&interval=D,False,False,False,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,63.52,56.37,53.59,5.2,5.61,24363318.6,23326055.700000025,1481671058.0,1314920861.0,10.95,62,18.51,52,40.48,70,155.41,26,71.47,3.3,2026-12-03,False,https://www.tradingview.com/chart/?symbol=NYSE:HPE&interval=D,False,False,False,False
NEO,"NeoGenomics, Inc.",NASDAQ,Medical/Nursing Services,19.56,17.73,16.69,4.14,4.31,2432516.5,1864059.4666666666,36461003.0,33045114.0,2.35,154,17.13,60,42.88,65,154.36,27,71.45,3.98,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NEO&interval=D,False,False,False,False
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,389.92,361.8,356.11,4.2,4.59,7228403.50000001,6447689.466666674,2514083077.0,2332752557.0,6.69,101,10.22,102,32.11,85,164.26,23,68.86,2.07,2026-11-12,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PANW&interval=D,False,False,False,True
SBET,"Sharplink, Inc.",NASDAQ,Advertising/Marketing Services,9.95,8.34,7.48,5.49,5.98,10764310.9,9838431.933333358,97892398.0,82062361.0,21.79,17,23.6,35,122.84,6,56.69,118,67.71,5.53,2026-11-12,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SBET&interval=D,True,False,True,False
ILMN,"Illumina, Inc.",NASDAQ,Medical Specialties,273.9,219.21,209.2,4.22,4.25,5887513.5,3120089.433333333,854592496.0,683963645.0,17.13,33,22.28,39,55.57,46,122.68,46,66.84,7.27,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ILMN&interval=D,False,False,False,False
P,"Everpure, Inc.",NYSE,Computer Peripherals,121.88,104.16,94.87,4.72,5.79,11605022.0,6082122.566666666,741289098.0,633503750.0,21.82,16,18.68,50,74.11,24,98.79,60,63.86,4.92,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NYSE:P&interval=D,True,False,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,53.08,52.37,53.62,4.45,6.22,1498218.5,1482519.7666666666,78692149.0,77642031.0,4.36,135,1.26,164,-16.01,318,205.06,11,63.43,-0.16,2026-10-06,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PENG&interval=D,False,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,68.92,61.68,64.14,5.08,5.72,698868.6,522111.6,35983931.0,32203321.0,11.59,57,16.99,62,-14.33,308,185.15,18,62.6,1.3,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NYSE:AMBQ&interval=D,False,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1753.62,1626.79,1509.42,5.49,6.54,9883011.9,12058810.6,21146571444.0,19617114310.0,12.09,49,14.34,77,-19.19,335,192.39,15,62.51,2.48,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SNDK&interval=D,False,False,False,True
SMTC,Semtech Corporation,NASDAQ,Semiconductors,174.5,148.67,139.86,6.03,6.53,3845221.2,3587546.2,626026812.0,533356308.0,2.14,160,38.49,13,12.58,154,134.51,40,61.86,3.79,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SMTC&interval=D,False,True,False,False
SAIL,"SailPoint, Inc.",NASDAQ,Packaged Software,22.12,19.34,18.23,5.67,5.6,6435106.3,4533020.4,100270411.0,87664082.0,9.72,74,21.81,41,75.56,23,84.33,77,60.57,3.81,2026-12-15,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SAIL&interval=D,False,False,True,False
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,97.42,96.51,94.42,7.33,8.92,2329296.7,2676748.0,260768790.0,258336518.0,9.52,76,-4.34,223,2.01,198,183.86,19,60.51,0.36,2026-10-06,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AEHR&interval=D,False,False,False,True
BMNR,"BitMine Immersion Technologies, Inc.",NYSE,Financial Conglomerates,28.03,23.91,21.3,5.06,6.01,47212777.7,45153510.53333333,1265652900.0,1079545181.0,19.45,25,17.77,58,115.62,8,46.83,141,60.07,5.26,2026-11-20,False,https://www.tradingview.com/chart/?symbol=NYSE:BMNR&interval=D,False,False,True,False
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,30.14,33.14,27.98,5.15,5.95,1610803.0,3014097.1,90844887.0,99885671.0,-9.57,384,-21.71,408,73.17,25,124.26,44,58.57,1.3,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AMLX&interval=D,False,False,False,False
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,51.3,44.38,40.2,5.33,4.89,1264795.1,1077679.9333333333,55284981.0,47825639.0,-1.12,225,36.62,14,90.35,16,48.31,139,58.43,5.65,2026-11-02,False,https://www.tradingview.com/chart/?symbol=NYSE:CVI&interval=D,False,True,True,False
AYA,Aya Gold & Silver Inc.,NASDAQ,Precious Metals,27.94,27.81,25.48,4.97,6.07,1634486.5,1300904.9333333333,36347284.0,36177733.0,-0.36,213,6.6,118,51.03,54,116.59,50,58.07,1.59,2026-11-17,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AYA&interval=D,False,False,False,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,258.95,232.4,219.1,4.11,5.32,18169395.6,22237564.233333334,5758417258.0,5167950628.0,7.86,90,9.09,107,-3.51,234,162.15,24,55.91,3.42,2026-11-26,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,False,False,False,True
BB,BlackBerry Limited,NYSE,Packaged Software,8.73,8.1,8.34,4.49,5.15,17703481.7,11962325.700000009,104431103.0,96878888.0,11.35,59,11.85,89,-13.39,301,168.62,22,55.69,0.92,2026-12-17,False,https://www.tradingview.com/chart/?symbol=NYSE:BB&interval=D,False,False,False,True
